id,id_str,screen_name,location,description,url,followers_count,friends_count,listedcount,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,tweeted_url,bot
13790742,13790742,id,Amsterdam,english freelance iOS developer / creator of @tacksapp / trainee natural-beekeeper / amateur brewer / master baker (one day),https://t.co/OZ0GhUEG2B,2803,312,279,Thu Feb 21 21:41:05 +0000 2008,306,FALSE,15750,,"{'created_at': 'Wed May 05 07:55:09 +0000 2021', 'id': 1389851143539335168, 'id_str': '1389851143539335168', 'text': 'RT @themikestern: If your app requests permission to access user data, have a look at this new HIG page: https://t.co/hExsTDfriP https://t.…', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'themikestern', 'name': 'Mike Stern', 'id': 1014766195, 'id_str': '1014766195', 'indices': [3, 16]}], 'urls': [{'url': 'https://t.co/hExsTDfriP', 'expanded_url': 'https://developer.apple.com/design/human-interface-guidelines/ios/app-architecture/accessing-user-data/', 'display_url': 'developer.apple.com/design/human-i…', 'indices': [105, 128]}]}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Mon Apr 26 21:52:32 +0000 2021', 'id': 1386800388045557760, 'id_str': '1386800388045557760', 'text': 'If your app requests permission to access user data, have a look at this new HIG page: https://t.co/hExsTDfriP https://t.co/kKKzITQx3m', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hExsTDfriP', 'expanded_url': 'https://developer.apple.com/design/human-interface-guidelines/ios/app-architecture/accessing-user-data/', 'display_url': 'developer.apple.com/design/human-i…', 'indices': [87, 110]}], 'media': [{'id': 1386800195501887489, 'id_str': '1386800195501887489', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/media/Ez7nbiNVEAEbsk5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ez7nbiNVEAEbsk5.jpg', 'url': 'https://t.co/kKKzITQx3m', 'display_url': 'pic.twitter.com/kKKzITQx3m', 'expanded_url': 'https://twitter.com/themikestern/status/1386800388045557760/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 627, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1472, 'h': 1358, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1107, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1386800195501887489, 'id_str': '1386800195501887489', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/media/Ez7nbiNVEAEbsk5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ez7nbiNVEAEbsk5.jpg', 'url': 'https://t.co/kKKzITQx3m', 'display_url': 'pic.twitter.com/kKKzITQx3m', 'expanded_url': 'https://twitter.com/themikestern/status/1386800388045557760/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 627, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1472, 'h': 1358, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1107, 'resize': 'fit'}}}]}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 62, 'favorite_count': 279, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 62, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,TRUE,Ian,https://developer.apple.com/design/human-interface-guidelines/ios/app-architecture/accessing-user-data/,0
7.87406E+17,7.87406E+17,best_in_dumbest,,"Blame @xaiax, Inspired by @MakingInvisible, using cmu phonetic data to produce incongruous matches.
Some images via Lorem Flickr.",,1700,4,53,Sat Oct 15 21:32:11 +0000 2016,4,FALSE,13119,,"{'created_at': 'Fri May 07 15:00:07 +0000 2021', 'id': 1390682865717846016, 'id_str': '1390682865717846016', 'text': 'Be the ""Lose""\nin ""Undisclosed"" https://t.co/eyEtothnte', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1390682862622416900, 'id_str': '1390682862622416900', 'indices': [31, 54], 'media_url': 'http://pbs.twimg.com/media/E0yysgXVIAQUUaA.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0yysgXVIAQUUaA.jpg', 'url': 'https://t.co/eyEtothnte', 'display_url': 'pic.twitter.com/eyEtothnte', 'expanded_url': 'https://twitter.com/best_in_dumbest/status/1390682865717846016/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 768, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 768, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1390682862622416900, 'id_str': '1390682862622416900', 'indices': [31, 54], 'media_url': 'http://pbs.twimg.com/media/E0yysgXVIAQUUaA.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0yysgXVIAQUUaA.jpg', 'url': 'https://t.co/eyEtothnte', 'display_url': 'pic.twitter.com/eyEtothnte', 'expanded_url': 'https://twitter.com/best_in_dumbest/status/1390682865717846016/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 768, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 768, 'resize': 'fit'}}}]}, 'source': '<a href=""http://moist.horse"" rel=""nofollow"">Moist Horse</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,FALSE,The Best In Dumbest,   ,1
7.96216E+17,7.96216E+17,CJRubinPhoto,United States,"Photographing the American West since 1980. I specialize in location portraits & events, both indoors & outside, using natural light & portable studio lighting.",https://t.co/DJ4TYZgm7Q,824,852,5,Wed Nov 09 05:01:30 +0000 2016,516,FALSE,251,,"{'created_at': 'Sun Jun 03 09:25:34 +0000 2018', 'id': 1003206043407511552, 'id_str': '1003206043407511552', 'text': 'Trees on the shore at Point Lobos State Natural Reserve. Just outside Carmel, CA. #landscape #photography https://t.co/rdCgm9pPmh', 'truncated': False, 'entities': {'hashtags': [{'text': 'landscape', 'indices': [82, 92]}, {'text': 'photography', 'indices': [93, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1003205327498559489, 'id_str': '1003205327498559489', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/media/DewZ7h5UwAE8Prn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DewZ7h5UwAE8Prn.jpg', 'url': 'https://t.co/rdCgm9pPmh', 'display_url': 'pic.twitter.com/rdCgm9pPmh', 'expanded_url': 'https://twitter.com/CJRubinPhoto/status/1003206043407511552/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1003205327498559489, 'id_str': '1003205327498559489', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/media/DewZ7h5UwAE8Prn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DewZ7h5UwAE8Prn.jpg', 'url': 'https://t.co/rdCgm9pPmh', 'display_url': 'pic.twitter.com/rdCgm9pPmh', 'expanded_url': 'https://twitter.com/CJRubinPhoto/status/1003206043407511552/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 14, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,TRUE,CJ Rubin,   ,0
8.7595E+17,8.7595E+17,SVGEGENT,,"Part savage, all gentleman 🧐
                          Content creator and wannabe variety streamer
Currently playing @TESOnline #ESO ⚔️",https://t.co/jIrurMaqEX,193,806,2,Sat Jun 17 05:34:27 +0000 2017,4106,FALSE,1204,,"{'created_at': 'Fri May 07 06:42:42 +0000 2021', 'id': 1390557685012066305, 'id_str': '1390557685012066305', 'text': 'Friday stream incoming\nJoin me for some more #ESO fun and grind 🦖\n6AM EDT - PC/EU\n#twitch #ESOFam #ElderScrollsOnline', 'truncated': False, 'entities': {'hashtags': [{'text': 'ESO', 'indices': [45, 49]}, {'text': 'twitch', 'indices': [82, 89]}, {'text': 'ESOFam', 'indices': [90, 97]}, {'text': 'ElderScrollsOnline', 'indices': [98, 117]}], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 2, 'favorited': False, 'retweeted': False, 'lang': 'en'}",FALSE,FALSE,FALSE,𝙎𝙑𝙂𝙀 𝙂𝙀𝙉𝙏,   ,0
7.5612E+17,7.5612E+17,TinkerVHELPK5,"Birmingham, AL","Wife.Godmother.Friend.Feline Fanatic! Assistant Principal, Vestavia Hills Elementary Liberty Park",,569,658,2,Thu Jul 21 13:32:25 +0000 2016,10103,FALSE,1649,,"{'created_at': 'Fri May 07 14:06:42 +0000 2021', 'id': 1390669421358850051, 'id_str': '1390669421358850051', 'text': 'RT @vhcschools: May 7 is celebrated nationally at School Lunch Hero Day. We are so grateful for the work of our amazing Child Nutrition Pro…', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vhcschools', 'name': 'Vestavia Hills City Schools', 'id': 1149059971, 'id_str': '1149059971', 'indices': [3, 14]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Fri May 07 13:30:15 +0000 2021', 'id': 1390660251729502209, 'id_str': '1390660251729502209', 'text': 'May 7 is celebrated nationally at School Lunch Hero Day. We are so grateful for the work of our amazing Child Nutri… https://t.co/KyajnfgAGn', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KyajnfgAGn', 'expanded_url': 'https://twitter.com/i/web/status/1390660251729502209', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 4, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",TRUE,FALSE,FALSE,Danielle Tinker,   ,0
464781334,464781334,JoleonLescott,"England, United Kingdom","Loans Manager @mancity, @pumafootball Ambassador, TV Pundit, UEFA A Diploma, obeatson@teamwass.com 📧",,748260,118,1818,Sun Jan 15 16:32:35 +0000 2012,153,TRUE,4292,,"{'created_at': 'Wed Apr 28 18:20:22 +0000 2021', 'id': 1387471768559013888, 'id_str': '1387471768559013888', 'text': 'Some friendly faces for tonight 👊🏽\n@btsportfootball https://t.co/Xa919MaU8Z', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'btsportfootball', 'name': 'Football on BT Sport', 'id': 2319121626, 'id_str': '2319121626', 'indices': [35, 51]}], 'urls': [], 'media': [{'id': 1387471764192731147, 'id_str': '1387471764192731147', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/E0FKN-iXoAs3VCI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0FKN-iXoAs3VCI.jpg', 'url': 'https://t.co/Xa919MaU8Z', 'display_url': 'pic.twitter.com/Xa919MaU8Z', 'expanded_url': 'https://twitter.com/JoleonLescott/status/1387471768559013888/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 900, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1387471764192731147, 'id_str': '1387471764192731147', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/E0FKN-iXoAs3VCI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0FKN-iXoAs3VCI.jpg', 'url': 'https://t.co/Xa919MaU8Z', 'display_url': 'pic.twitter.com/Xa919MaU8Z', 'expanded_url': 'https://twitter.com/JoleonLescott/status/1387471768559013888/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 900, 'resize': 'fit'}}}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 35, 'favorite_count': 1097, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",FALSE,FALSE,FALSE,Joleon Lescott,   ,0
55050269,55050269,carrieanninaba,Los Angeles,"Co-Host of @TheTalkCBS, Judge on @DancingABC, Dancer, Choreographer, Animal Rescuer, Founder https://t.co/qYbW5GlP0C. Instagram https://t.co/71kc6wyIkh",https://t.co/yaVmRseD50,289418,1596,2305,Wed Jul 08 22:22:59 +0000 2009,5555,TRUE,14661,,"{'created_at': 'Mon Apr 26 18:11:46 +0000 2021', 'id': 1386744827740446721, 'id_str': '1386744827740446721', 'text': 'https://t.co/Z1exp8eG7O', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1386744755766259716, 'id_str': '1386744755766259716', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1386744755766259716/pu/img/27VNrNPIBXkC-5TC.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1386744755766259716/pu/img/27VNrNPIBXkC-5TC.jpg', 'url': 'https://t.co/Z1exp8eG7O', 'display_url': 'pic.twitter.com/Z1exp8eG7O', 'expanded_url': 'https://twitter.com/carrieanninaba/status/1386744827740446721/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1386744755766259716, 'id_str': '1386744755766259716', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1386744755766259716/pu/img/27VNrNPIBXkC-5TC.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1386744755766259716/pu/img/27VNrNPIBXkC-5TC.jpg', 'url': 'https://t.co/Z1exp8eG7O', 'display_url': 'pic.twitter.com/Z1exp8eG7O', 'expanded_url': 'https://twitter.com/carrieanninaba/status/1386744827740446721/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [9, 16], 'duration_millis': 12000, 'variants': [{'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1386744755766259716/pu/vid/320x568/zM4JJhQrjzwCPs5i.mp4?tag=12'}, {'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1386744755766259716/pu/vid/480x852/RsmyxW8H8f5QYxat.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1386744755766259716/pu/vid/720x1280/zuy3uMX9KCdc1BXE.mp4?tag=12'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1386744755766259716/pu/pl/ZL_C7KEsZfwOJTLw.m3u8?tag=12'}]}, 'additional_media_info': {'monetizable': False}}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': 1386744641601503234, 'in_reply_to_status_id_str': '1386744641601503234', 'in_reply_to_user_id': 55050269, 'in_reply_to_user_id_str': '55050269', 'in_reply_to_screen_name': 'carrieanninaba', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 5, 'favorite_count': 189, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'und'}",FALSE,FALSE,TRUE,Carrie Ann Inaba,   ,0
809500704,809500704,sherine,,Internationally-acclaimed Egyptian Singer.,https://t.co/7U9CbCby83,7130859,38,1726,Fri Sep 07 20:01:33 +0000 2012,778,TRUE,1258,,"{'created_at': 'Sun Apr 25 12:23:33 +0000 2021', 'id': 1386294811335053312, 'id_str': '1386294811335053312', 'text': 'شكرا يا حبيبي، مهما قلتلك مش هيكون كفاية 🥰👩\u200d❤️\u200d👨😍...', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 98, 'favorite_count': 2350, 'favorited': False, 'retweeted': False, 'lang': 'ar'}",FALSE,FALSE,TRUE,Sherine Abdel-Wahab,   ,0
1015021614,1015021614,cordensmaureen,,,,24,0,0,Sun Dec 16 11:43:24 +0000 2012,63,FALSE,277,,"{'created_at': 'Sat Jul 29 15:22:00 +0000 2017', 'id': 891317895300489216, 'id_str': '891317895300489216', 'text': ""RT @TalbertSwan: @realDonaldTrump I know math isn't your strong suit, but the skinny repeal was defeated 51-49. It only needed F-I-F-T-Y O-…"", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TalbertSwan', 'name': 'Bishop Talbert Swan', 'id': 16873455, 'id_str': '16873455', 'indices': [3, 15]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [17, 33]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Sat Jul 29 15:14:05 +0000 2017', 'id': 891315901294940162, 'id_str': '891315901294940162', 'text': ""@realDonaldTrump I know math isn't your strong suit, but the skinny repeal was defeated 51-49. It only needed F-I-F… https://t.co/hzuP6ZLBj4"", 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/hzuP6ZLBj4', 'expanded_url': 'https://twitter.com/i/web/status/891315901294940162', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': 891260230876659713, 'in_reply_to_status_id_str': '891260230876659713', 'in_reply_to_user_id': 25073877, 'in_reply_to_user_id_str': '25073877', 'in_reply_to_screen_name': 'realDonaldTrump', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 330, 'favorite_count': 535, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 330, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",TRUE,FALSE,FALSE,Maureen Cordens,   ,0
492306486,492306486,GhamGraham,United Kingdom,"Man Utd fan. mostly here for football. Takes photos. Ex care worker, does stuff with computers often sarcastic.",,2080,3342,39,Tue Feb 14 15:33:48 +0000 2012,37987,FALSE,64405,,"{'created_at': 'Fri May 07 08:59:08 +0000 2021', 'id': 1390592021077929986, 'id_str': '1390592021077929986', 'text': ""@jamesmarshall42 @anon_opin Whoever wrote it isn't very bright, but they think they are."", 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jamesmarshall42', 'name': 'James Marshall', 'id': 169483313, 'id_str': '169483313', 'indices': [0, 16]}, {'screen_name': 'anon_opin', 'name': 'Listen, Steve… 😡🗯', 'id': 1007164431028183040, 'id_str': '1007164431028183040', 'indices': [17, 27]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': 1390591477382729729, 'in_reply_to_status_id_str': '1390591477382729729', 'in_reply_to_user_id': 169483313, 'in_reply_to_user_id_str': '169483313', 'in_reply_to_screen_name': 'jamesmarshall42', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 8, 'favorited': False, 'retweeted': False, 'lang': 'en'}",FALSE,FALSE,FALSE,Graham,   ,0
